Unnamed: 0,text,sentiment,sentimento_previsto
28,"A ministra da Casa Civil, Gleisi Hoffmann, começou a construir uma ponte entre o Palácio do Planalto e os senadores que criaram uma frente em defesa da continuidade do combate à corrupção. Senadora licenciada pelo PT do Paraná, Gleisi ouviu dos seus ex-colegas de Parlamento que o governo receberá apoio do grupo se for abandonado por integrantes da base aliada ao patrocinar novas medidas para sanar irregularidades na máquina pública. O grupo de senadores, entretanto, permanece fora da base aliada.",Neutro,NEUTRAL
29,"SÃO PAULO – A formação da taxa de câmbio no mercado local seguiu o sinal externo. O dólar perdeu para todos os seus principais rivais no pregão desta terça-feira, que foi marcado por firme demanda por ativos de risco, especialmente ações.",Neutro,NEUTRAL
30,"Entre os ativos de maior peso sobre o Ibovespa, Vale PN caiu hoje 5,38%, a R$ 41,26; Petrobras PN perdeu 7,35%, a R$ 20,65; OGX Petróleo ON cedeu 8,33%, a R$ 11; Itaú Unibanco PN teve desvalorização de 3,10%, a R$ 28,05; e BM&FBovespa ON se depreciou em 6,81%, a R$ 7,80.",Negativo,NEGATIVE
31,"Os votos pela absolvição foram apresentados por coerência, argumentaram os ministros, uma vez que ambas já tinham sido declaradas inocentes das denúncias de corrupção ativa, lavagem de dinheiro, gestão fraudulenta de instituição financeira.",Negativo,NEGATIVE
33,"De janeiro a agosto a estatal importou 3,1 milhões de barris, o que equivale a 492,9 milhões de litros em oito meses. Como as estimativas do mercado apontam que será necessário 1 bilhão de litros extras para cumprir a redução da participação de álcool anidro na gasolina de 25% para 20%, o volume representa o dobro do que foi importado até agora.",Negativo,NEGATIVE
34,"“Em um semestre em que o mundo mudou de maneira tão forte e os bancos, de um modo geral, também, o BRB destoou desse grupo, já que cresceu proporcionalmente mais do que a concorrência”, destacou o banco estatal em nota.",Positivo,POSITIVE
35,"Segundo avaliação, a Santander Corretora vê potencial de ganho no curto prazo paraBVMF3; a Cetip provavelmente vai avaliar oferta atrativa, afirmam os analistas. De acordo com o BTG Pactual, a operação é “ganha-ganha” para ambos os acionistas das companhias.",Positivo,POSITIVE
36,Fitch eleva rating da Rossi para A+(bra),Positivo,POSITIVE
38,"Mercado segue monitorando ataque da Rússia à Ucrânia e possíveis tentativas de acordo entre os países. BCE e CPI nos EUA também são destaques externos. No Brasil, enquanto o fluxo mantém o dólar abaixo de R$ 5,10 às vésperas de MSCI e FTSE Russel excluírem ativos russos, IPCA moverá apostas na alta da Selic. Governo deve anunciar medidas para economia e Congresso pode votar projetos para combustíveis.",Neutro,NEUTRAL
39,O engenheiro agrônomo Maurício Antônio Lopes foi indicado pelo Ministro Mendes Ribeiro para ser é o novo presidente da Empresa Brasileira de Pesquisa Agropecuária (Embrapa). A nomeação dele foi publicada hoje no Diário Oficial da União.,Neutro,NEUTRAL
40,"A declaração veio após David Beasley, diretor do Programa Alimentar Mundial da Organização das Nações Unidas (ONU), dizer à CNN que 2% da fortuna de Musk poderiam resolver o problema da fome.",Neutro,NEUTRAL
41,"A economia dos Estados Unidos criou 678 mil empregos em fevereiro, em termos líquidos, segundo dados publicados nesta sexta-feira, 4, pelo Departamento do Trabalho do país. O resultado ficou bem acima da expectativa de analistas consultados pelo The Wall Street Journal, de geração de 440 mil vagas.",Positivo,POSITIVE
43,"“Não precisávamos de caixa, mas esse tipo de transação fazia sentido neste momento”, diz Jayme Fonseca, diretor de finanças da Odebrecht Engenharia e Construção.",Neutro,NEUTRAL
44,"Já na relação com dezembro de 2010, os bens de capital subiram 0,1%, os bens intermediários recuaram 0,6%, bens de consumo duráveis tiveram queda 5,5% e os bens de consumo semi e não duráveis caíram 0,9%, em dados sem ajustes sazonais.",Negativo,NEGATIVE
45,"Além do fato de serem republicanos e das contas multimilionárias, o pensamento econômico dos dois se aproxima em pelo menos três pontos importantes. Quem destaca isso é David Clark, que já escreveu diversos livros sobre Buffett e está preparando um sobre Munger para ser lançado em janeiro. Em uma coluna publicada no MarketWatch, o “especialista em Buffett” mostra essas três semelhanças:",Neutro,NEUTRAL
46,"Outro ponto polêmico da Lei da Copa diz respeito à venda de bebidas alcoólicas nos estádios. Ideli defende que seja possível chegar a um “meio termo” sobre o tema. A Fifa não abre mão desse ponto da proposta, já que um dos patrocinadores do evento esportivo é uma marca de cerveja.",Neutro,NEUTRAL
47,"Netanyahu recebeu uma imgem ampliada de um selo comemorativo dos Correios em homanagem a primeira visita de premiê israelense no Brasil, no Hotel Hilton em Copacabana - Tânia Rêgo/Agência Brasil",Neutro,NEUTRAL
48,"A defesa do fortalecimento do mercado livre de energia elétrica se tornou prioridade este ano para importantes associações do setor. Foi motivo inclusive da criação da campanha ""2012 - O Ano do Mercado Livre"", lançada em março, na Câmara dos Deputados, em conjunto com a Frente Parlamentar Mista em Defesa da Infraestrutura.",Positivo,POSITIVE
49,"Como se o solapamento das conversações mundiais da Rodada Doha da Organização Mundial de Comércio (OMC) não tivesse sido suficiente (a última reunião, realizada em Genebra, produziu, mal e mal, um resultado apenas passável, de raspão), os Estados Unidos potencializaram sua insensatez ao promover, vigorosamente, a Parceria Transpacífica (TPP, pelas iniciais em inglês). O presidente dos EUA, Barack Obama, anunciou-a ao lado de nove países asiáticos durante sua recente viagem à região.",Negativo,NEGATIVE
50,"A situação foi agravada pela crise econômica desencadeada pela pandemia - que afetou a indústria, o comércio e a agricultura em Cali, cidade do sudoeste do país, onde a violência se intensificou após o acordo de paz. Há um somatório de descontentamento social, pobreza, ""economia do tráfico ilegal de drogas"" e ""diferentes formas de criminalidade"", diz Barrios.",Negativo,NEGATIVE
51,Lei anticorrupção fortalece relações,Positivo,NEUTRAL
53,"De acordo com a companhia, as análises mostram que o petróleo extraído é de boa qualidade, de 28 a 30 o API. A coluna de hidrocarbonetos é de 438 metros. Para a exploração, foi atingida a profundidade de 5.973 metros.",Positivo,POSITIVE
54,"O Banco Central anunciou nesta terça-feira que determinou que Visa e Mastercard suspendam o uso do aplicativo WhatsApp para iniciação de pagamentos e transferências, para permitir que a autarquia avalie eventuais riscos ao funcionamento adequado do Sistema de Pagamentos Brasileiro (SPB).",Negativo,NEGATIVE
55,"SÃO PAULO – Em dia sem atividades na bolsa brasileira por conta do feriado de Corpus Christi, o índice Brazil Titans 20, que reúne os principais ADRs (American Depositary Receipt) de empresas nacionais negociados em Wall Street, fechou em queda de 0,97%, a 18.852 pontos, seguindo o movimento dos principais mercados internacionais, mas em leve recuperação em relação aos patamares verificados durante boa parte do dia.",Negativo,NEGATIVE
58,"A Acium, franquia de joias de aço, foi criada no Brasil, mas sua força vem da expansão internacional. A empresa já tem 400 pontos de venda em 17 países, com a meta de chegar a 35 países até o final do ano. São brincos, anéis e outros produtos de aço, que podem ser gravados. Alianças e pingentes e joias religiosas ou românticas estão entre os líderes de venda.",Positivo,POSITIVE
60,O Conselho Monetário Nacional (CMN) aprovou hoje ajustes nos programas de investimento com recursos do Banco Nacional de Desenvolvimento Econômico e Social (BNDES) e reduções das taxas de juros e ampliação de limites de crédito de custeio e comercialização para o Plano Agrícola e Pecuário 2012/2013.,Positivo,POSITIVE
62,"“Somos uma empresa de ouro na Bolsa que gera hedge e paga dividendos, além do nosso crescimento”, diz CEO da Aura Minerals",Neutro,NEUTRAL
63,"Luiz Rabi, gerente de indicadores de mercado da Serasa Experian, concorda. Para ele, os rumores de crise têm pouco impacto sobre o consumo nacional. ""A intensidade do impacto vai depender do que acontecer com o crédito. O varejo brasileiro vai sofrer se tivermos o mesmo estrangulamento do crédito externo de 2008, quando as linhas de financiamento mais baratas sumiram do mapa. Mas o grau de contágio do sistema financeiro nessa crise é mais limitado, não mudará as condições do varejo.""",Positivo,POSITIVE
64,"O Índice de Confiança do Empresário do Comércio (Icec), medido pela entidade, teve retração de 6,3% no mês passado, para 115,4 pontos, na comparação com maio. O resultado é o mais baixo da série histórica, iniciada em junho de 2011. A escala varia de zero a 200 pontos e indica otimismo quando acima dos 100.",Negativo,NEGATIVE
65,"O número deste ano é 28,9% superior ao de 2010, quando o Mato Grosso confinou 592.834 bovinos. O maior aumento na quantidade de animais criados sob esse tipo de engorda em 2011 ocorreu na região do chamado médio norte mato-grossense (alta de 72%). Na região oeste do Estado, o confinamento caiu 16,4%.",Neutro,POSITIVE
66,"Servidores querem ter a opção de trabalho remoto, diz pesquisa",Neutro,NEUTRAL
68,Proposta prevê um único fundo com vários planos,Neutro,NEUTRAL
71,Funcionários dos estoques da Amazon ganham 'quartinho da saúde mental',Positivo,POSITIVE
72,"Há dúvidas sobre se convém trabalhar em cima do Produto Interno Bruto (PIB, que mede o total de bens e serviços fabricados no país) tradicional, agregando uma série de elementos qualitativos de natureza ambiental e social, ou se seria melhor construir outro indicador baseado no consumo que, nesse caso, seria a renda disponível das famílias, após o pagamento de suas necessidades básicas.",Neutro,NEUTRAL
73,"No entanto, as acusações ficarão suspensas durante dois anos, enquanto a instituição reforma suas políticas contra a lavagem de dinheiro, admite sua responsabilidade e paga a compensação.",Negativo,NEGATIVE
74,"Segundo ela, é certo que a inflação seguirá alta até o fim do primeiro semestre, e há “risco substancial” de que o cenário atual persista na segunda metade do ano. Neste contexto, apertar a política monetária sem pressionar a forte expansão da atividade é o “principal desafio” do BC norte-americano.",Negativo,NEGATIVE
76,Japão tem deflação e dados negativos no varejo e consumo em novembro,Negativo,NEGATIVE
77,"A BR Distribuidora informou que assinou acordo com a Amazonas Energia para quitação antecipada de sua dívida com a BR, inscrita no Instrumento de Confissão de Dívida (ICD) assinado em 30 de abril de 2018, mediante o pagamento de parcela única no montante de R$ 1,446 bilhão.",Neutro,NEUTRAL
78,"""Nos últimos seis meses compramos empresas na Argentina, Taiwan, Tailândia, China. A estratégia é investir em mercados que crescem rapidamente, adquirindo principalmente agências de marketing direto, de pesquisas de mercado e de novas mídias e tecnologias.",Neutro,POSITIVE
79,Biden e Ryan marcam pauta de próximo debate de Obama e Romney,Neutro,NEUTRAL
80,"Com o receio de um colapso da Evergrande, os custos de financiamento para outras incorporadoras chinesas com grau especulativo dispararam, levantando dúvidas sobre a saúde financeira de alguns bancos de menor porte do país. Investidores de varejo, compradores de imóveis e fornecedores fizeram protestos em escritórios da Evergrande na China. Os mercados de Hong Kong a Nova York foram sacudidos esta semana em meio a temores de contágio financeiro da incorporadora imobiliária mais endividada do mundo.",Negativo,NEGATIVE
81,"A Coreia do Sul atualmente proíbe os turistas de viajarem para o norte, mas o descongelamento durante a Olimpíada aproxima os países do diálogo para a restauração dos lucrativos passeios entre as fronteiras que rendiam milhões de dólares por ano ao regime de Kim. A propaganda gratuita de sua estação de esqui também poderá atrair mais visitantes da China, que envia mais turistas para a Coreia do Norte do que qualquer outro país.",Neutro,NEUTRAL
82,"""Paramos no tempo e no espaço. Enquanto boa parte do mundo avançava [ao longo dos últimos dez anos], começávamos a andar para trás. Caranguejos atolados no mangue do atraso"", disse Ciro, que ainda afirmou:",Negativo,NEGATIVE
83,"Com a aquisição, a Sara Lee afirma assumir a liderança como operadora de cafeterias na Holanda. A empresa também espera fortalecer a presença no segmento de jovens que consomem café fora do lar, que considera ser crescente.",Positivo,POSITIVE
85,"A equipe de análise do Morgan Stanley ressalta que a São Martinho conseguiu entregar fortes resultados e um crescimento de 41% no Ebitda ajustado do primeiro trimestre do ano-safra 2020/2021, atingindo R$ 491 milhões. O lucro líquido da companhia foi de R$ 116 milhões.",Positivo,POSITIVE
86,"Mas ele tem um palpite para o fenômeno. “Nós conseguimos fazer a abertura de capital do banco inter porque o mercado queria comprar a ação de um banco diferente. O que eu acho que o mercado comprou foi a questão do banco digital e o growth, crescimento. Quando eles enxergam que a tese deles, que era de uma empresa de grande crescimento, se materializa, isso é positivo”, opina.",Positivo,POSITIVE
87,"Segundo dados que constam do parecer do Cade, a operação consiste na venda de determinada carteira de cartões de crédito detida pelo Itaú Unibanco ao Safra.",Neutro,NEUTRAL
88,"O mundo está mais complexo, mas dá para começar com o básico. Veja como, no Manual do Investidor",Neutro,NEUTRAL
89,Bolsonaro volta a insinuar que houve fraude na eleição de 2018,Negativo,NEGATIVE
90,"Estudo do Instituto Internacional para o Meio-Ambiente e Desenvolvimento (IIED) afirma que 46 dos países menos desenvolvidos do mundo não têm condições de resistir a desastres intensificados pelas mudanças climáticas, como furacões e terremotos. Para amenizar o estrago, são necessários investimentos de 40 bilhões de dólares por ano.",Negativo,NEGATIVE
91,"A Omega Geração concluiu a aquisição de 50% das ações dos Complexos Eólicos Ventos da Bahia 1 e Ventos da Bahia 2, atualmente detidos pela EDF Renewables do Brasil. Os dois complexos eólicos têm capacidade de geração de 182,6 megawatts.",Positivo,POSITIVE
92,Castro destaca que a ameaça cibernética é relativamente pouco relevante para São Paulo e Rio na comparação com outras cidades de outros continentes:,Positivo,POSITIVE
93,"A startup mineira Hotmart, que oferece uma plataforma para ensino à distância, teve aumento de 322% em suas buscas. A Stoodi, que oferece preparação para o Enem, também teve alta significativa no período (230%), especialmente nos dias em que liberou o acesso a sua plataforma gratuitamente. Na categoria, somente a startup Sanar, plataforma de conteúdo para médicos e estudantes de medicina, foi classificada na categoria de crescimento sustentável, com alta de mais de 100%.",Positivo,POSITIVE
94,"Ontem à noite (26), o subsecretário de Relações Exteriores do México, Maximiliano Reyes, propôs à chanceler boliviana, Karen Longaric, um encontro em um país neutro para discutir o caso.",Neutro,NEUTRAL
95,"Participação da Petros na Marcopolo chega a 9,29% do capital total",Neutro,POSITIVE
96,"Em agosto, a Apple conseguiu barrar temporariamente as vendas dos produtos da Samsung em todos os países da União Europeia, com exceção da Holanda. Na semana passada, o tribunal de Düsseldorf decidiu a favor da companhia em liminar que pedia a proibição da comercialização do Galaxy Tab 7.7, novo tablet da Samsung, na Alemanha.",Negativo,NEGATIVE
97,"O restante dos recursos, que somam R$ 4,5 milhões, deverão ser usados para a construção do anexo da Superintendência Regional da Polícia Federal no Rio de Janeiro.",Neutro,NEUTRAL
99,"""Isso deve criar um apoio adicional para o preço"" do alumínio, disse ele.",Positivo,POSITIVE
100,"Além da GJP, a concorrência pela gestão do hotel atraiu as redes Meliá, Atlântica e o próprio Blue Tree.",Positivo,POSITIVE
101,"Prestes a entrar na bolsa, Dropbox não quer ser próximo Snapchat",Neutro,NEUTRAL
102,"O general reformado Petraeus renunciou na sexta-feira, 9, após descobrir que o FBI investigava seu envolvimento extraconjugal com sua biógrafa Paula Broadwell. Pela lei militar, o adultério é proibido por tornar o adúltero um alvo suscetível a chantagens.",Negativo,NEGATIVE
104,"Ao fazer duras críticas à gestão da crise, os técnicos afirmaram que as medidas tomadas pelas entidades e órgãos relacionados ao setor elétrico “não foram organizadas antecipadamente, de forma transparente e previsíveis”.",Negativo,NEGATIVE
105,"A empresa disse ainda que, até a data da publicação do resultado, ainda não havia aderido à repactuação do risco hidrológico, pois a administração aguarda a homologação pela reguladora Aneel para avaliar a possível adesão aos termos da repactuação e renúncia de futuros questionamentos ou ações judiciais em relação aos riscos hidrológicos em questão.",Negativo,NEGATIVE
107,"A presidente Dilma Rousseff, que tem preferido o termo ""ajuste"" à expressão ""reforma ministerial"", deve anunciar as mudanças em seu ministério de forma paulatina. A sinalização foi feita ontem, durante a primeira reunião deste ano entre Dilma e o vice-presidente Michel Temer.",Neutro,NEUTRAL
108,Começa hoje (25) a proibição de entrada no Brasil por voos do Reino Unido,Negativo,NEGATIVE
109,"Caron afirmou também que o Dnit teve o melhor desempenho percentual de execução de obras do Programa de Aceleração do Crescimento (PAC). No encontro que teve na tarde de hoje com o ministro dos Transportes, Paulo Sérgio Passos, Caron pediu para continuar auxiliando o governo nos próximos dias para que não haja problemas de continuidade nas obras sob responsabilidade do Dnit.",Positivo,POSITIVE
110,"No caso da indústria, a avaliação do BC foi de que ""a retomada da produção extrativa no trimestre - com forte alta na extração de petróleo - condicionou a estabilidade, tendo em vista a redução na transformação (automotiva e metalurgia)"".",Positivo,POSITIVE
111,"O Ministério Público de São Paulo (MP-SP) solicitou a falência do Grupo Itapemirim e o afastamento de Sidnei Piva do controle da empresa — que está em recuperação judicial desde 2016. E o promotor Nilton Belli Filho também incluiu a companhia aérea ITA, que deixou de operar às vésperas do natal, no pedido que será analisado pela 1ª Vara de Falências e Recuperações Judiciais de São Paulo.",Negativo,NEGATIVE
112,"A Insight conta com mais de 750 mil clientes nos Estados de Ohio, Indiana e Kentucky. Desse total, cerca de 537 mil são assinantes de serviços de banda larga de alta velocidade, 679 mil de serviços de vídeo e 297 mil de serviços de voz.",Positivo,POSITIVE
113,"Também foi apresentada aos prefeitos a possibilidade de renegociar dívidas com o INSS, por meio de uma medida provisória.  De acordo com as informações da ministra, poderão ser abatidos 60% de multas, 25% de juros e 100% de encargos, com o parcelamento a partir do pagamento de 2% da receita corrente líquida. O prazo, segundo Ideli, dependerá do montante total da dívida.",Positivo,POSITIVE
114,São Paulo puxa queda do emprego industrial do país em novembro,Negativo,NEGATIVE
115,"Carvalho acredita que o crescimento do PIB em 2021 está se consolidando como um número mais próximo de 4,5% do que de 4%.",Positivo,POSITIVE
119,Estados não produtores são contra proposta do governo sobre royalties,Negativo,NEGATIVE
122,"Às 9h08, a divisa dos Estados Unidos era negociada a 1,9135 real para venda, em alta de 1,13 por cento  , após avanço de 1,74 por cento na quinta-feira. As cotações são as maiores desde o começo de outubro.",Positivo,POSITIVE
123,"A Anvisa analisou o material e pediu novas informações, mais especificamente sobre os estudos de efetividade da vacina contra a covid-19 no público pediátrico.",Neutro,NEUTRAL
124,"O Bank of America, segundo maior banco dos Estados Unidos, aprovou negociações de bitcoin no mercado futuro para alguns clientes, de acordo com duas pessoas que possuem conhecimento do fato e que falaram na condição de anonimato.",Positivo,POSITIVE
125,Mudança no FPE põe em risco redistribuição dos royalties,Negativo,NEGATIVE
126,"A proporção de empresas prevendo melhora nos negócios diminuiu de 51,9% para 46,2% entre maio deste ano e maio de 2011, enquanto a parcela das que esperam piora passou de 3,3% para 4,4% do total.",Negativo,NEGATIVE
127,"Temperaturas elevadas fazem ONS prever alta de 0,8% na carga de energia em abril",Negativo,NEGATIVE
128,"Apontado como um dos chefes da maior facção criminosa do país, ele saiu pela porta da frente. Horas depois, o presidente do STF, Luiz Fux, reverteu a decisão, mas era tarde demais. Investigações apontam que ele já teria saído do país, provavelmente para o Paraguai. Logo em seguida, Mello criticou a decisão de Fux e disse que o presidente “é um coordenador e não é superior”.",Negativo,NEGATIVE
129,"""Nós reafirmamos o compromisso de continuar as negociações sobre o custo do frete e esperamos alcançar um acordo que não comprometa a competitividade dos produtos Chevrolet no mercado brasileiro"", afirmou a GM no comunicado.",Positivo,POSITIVE
130,Lupatech quer alterar cláusulas de emissão de debêntures pela 4a vez,Negativo,NEGATIVE
131,"A receita operacional líquida da empresa especializada em hospedagem de sites e computação em nuvem somou 184,3 milhões de reais, alta de 57,1%, com o segmento commerce registrando um salto de 159,3% na receita, para 84,8 milhões de reais.",Positivo,POSITIVE
132,DHB finaliza recompra de debêntures no valor de R$ 7 milhões,Neutro,NEUTRAL
133,"Hoje, a taxa de reposição dos cargos de auxiliares é zero. Muitos desses cargos que já têm o chamado ""marcador de extinção"". Ou seja, que não serão repostos. Pelo levantamento do governo, 8.075 servidores de nível auxiliar se aposentarão até 2025; 13.425 até 2030 e 17.552 até 2040.",Negativo,NEGATIVE
134,"É a primeira vez que vendemos por nosso canal eletrônico e também marca o início de uma nova categoria no portfólio brasileiro, a de aminoácidos para o consumidor final.",Positivo,POSITIVE
135,"Segundo a plataforma Our World in Data, ligada à Universidade Johns Hopkins, Portugal registrou, na quinta-feira, 53 mortes pela covid-19. Na terça-feira (1º), os óbitos contabilizados foram 63. Até ontem, o país europeu totalizava 20.077 óbitos desde o início da pandemia.",Negativo,NEGATIVE
136,"Segundo ela, o objetivo do CVC é acelerar startups e pequenas empresas inovadoras no Brasil e na América Latina. ""Queremos desenvolver novos produtos, soluções e serviços e explorar novas fronteiras e novos mercados.""",Positivo,POSITIVE
137,"Diretor geral e depois presidente do grupo, liderou as inovações que renderam fama além das fronteiras do reino escandinavo.",Positivo,POSITIVE
138,"De acordo com a agência internacional, assessores de imprensa da EBX no Rio de Janeiro e da Mubadala em Abu Dhabi não quiseram comentar a estrutura do acordo, direcionando as perguntas da reportagem ao comunicado que anunciou a operação em março.",Neutro,NEUTRAL
140,"Com uma queda de 8,8% nas receitas de publicidade, o faturamento da companhia, no entanto, recuou 3,1%, de US$ 554,3 milhões para US$ 537,2 milhões na mesma base de comparação.",Negativo,NEGATIVE
141,"Outro fator a ser levado em conta é a variação cambial, que tem impacto tanto no ganho de capital com o BDR quanto na distribuição de dividendos. Se o dólar subir em relação ao real, o investidor se beneficia com a valorização da ação e com um dividendo maior. “Porém, se o dólar cair, mesmo se a cotação da ação subir lá fora, o retorno do investidor diminui”, aponta Jennie.",Neutro,NEUTRAL
143,"A entrada de veículos particulares estará proibida e a circulação de pessoas estará restrita à realização de atividades básicas. A medida responde a uma decisão judicial e vale por 11 dias. O estado tem 4.227 casos e 249 mortes, e a taxa de ocupação de leitos estaduais de UTI para tratamento atingiu o limite.",Negativo,NEGATIVE
144,"Para conseguir aproveitar ao máximo o tempo, os milionários costumam dormir quase oito horas a menos por semana e trabalhar seis horas a mais do que o americano médio, segundo Stanley Fallaw.",Neutro,NEUTRAL
145,"Por sua vez, o presidente da Câmara dos Deputados, Arthur Lira (PP-AL), pediu paz e que a Rússia e Ucrânia busquem caminhos diplomáticos para resolver seus problemas. “O mundo já enfrenta o luto de milhões de perdas da pandemia de covid-19. À medida que voltamos à normalidade, assistimos uma escalada sem precedentes entre Rússia e Ucrânia”, afirmou, pelo Twitter. “Neste momento, precisamos de paz, entendimento e que as duas nações busquem os caminhos diplomáticos”, disse.",Negativo,NEGATIVE
147,"As vítimas sofreram agressões físicas, uma urna eletrônica foi destruída a marretadas e duas ofensas verbais, sofridas na rua, foram denunciadas em redes sociais. Numa delas, a vítima relata que o agressor chutou o cachorro abandonado que ela alimentava, enquanto a ofendia.",Negativo,NEGATIVE
151,"Até 2040, o volume de plásticos no mercado dobrará, o volume anual de plásticos que entra no oceano quase triplicará (de 11 milhões de toneladas em 2016 para 29 milhões de toneladas em 2040) e a quantidade de plástico nos oceanos quadruplicará (atingindo mais de 600 milhões de toneladas) caso não sejam tomadas medidas urgentes.",Negativo,NEGATIVE
